age,occupation,maritalStatus,education,creditDefault,housingLoan,personalLoan,contactMode,month,dayOfWeek,duration,campaign,pdays,previous,poutcome,subscribed
32,admin.,single,university.degree,no,yes,no,cellular,jun,thu,89,2,999,0,nonexistent,yes
39,management,divorced,basic.9y,unknown,yes,no,cellular,jul,thu,86,1,999,0,nonexistent,no
50,admin.,divorced,basic.9y,no,yes,no,cellular,nov,tue,128,2,999,0,nonexistent,no
52,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,401,2,999,0,nonexistent,no
38,self-employed,married,university.degree,unknown,yes,no,cellular,apr,mon,93,3,999,0,nonexistent,no
38,technician,married,professional.course,no,yes,no,cellular,nov,wed,227,1,999,0,nonexistent,no
39,technician,married,basic.6y,no,yes,no,cellular,apr,tue,226,2,999,0,nonexistent,no
45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,121,1,999,0,nonexistent,no
50,technician,married,unknown,no,no,no,cellular,may,tue,95,1,999,0,nonexistent,no
31,technician,married,professional.course,unknown,no,no,cellular,aug,fri,93,1,999,0,nonexistent,no
35,student,single,university.degree,unknown,no,no,telephone,jun,fri,10,3,999,0,nonexistent,no
30,blue-collar,married,high.school,no,no,no,cellular,aug,fri,358,3,999,0,nonexistent,no
25,services,married,high.school,no,yes,no,telephone,may,tue,530,7,999,0,nonexistent,no
41,admin.,married,high.school,no,yes,yes,cellular,may,mon,217,1,999,0,nonexistent,no
41,services,married,basic.6y,no,yes,no,cellular,may,fri,394,10,999,0,nonexistent,no
26,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,366,1,999,0,nonexistent,no
34,admin.,single,university.degree,no,yes,no,cellular,aug,wed,100,1,999,0,nonexistent,no
32,blue-collar,married,professional.course,no,yes,no,telephone,jun,fri,446,1,999,0,nonexistent,no
45,technician,divorced,professional.course,no,no,no,cellular,aug,tue,706,3,999,0,nonexistent,no
53,retired,married,high.school,unknown,no,no,telephone,may,wed,264,2,999,0,nonexistent,no
29,technician,single,high.school,no,no,no,cellular,aug,mon,26,9,999,0,nonexistent,no
39,admin.,married,university.degree,no,yes,yes,cellular,aug,mon,116,2,999,0,nonexistent,no
21,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,250,1,999,0,nonexistent,no
26,technician,single,university.degree,no,yes,no,cellular,sep,fri,284,3,999,1,failure,yes
47,technician,divorced,high.school,no,yes,no,telephone,jul,thu,147,1,999,0,nonexistent,no
51,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,175,3,999,1,failure,no
45,services,married,high.school,no,yes,no,cellular,apr,wed,651,4,999,0,nonexistent,no
34,technician,married,university.degree,no,yes,yes,cellular,aug,wed,83,3,999,0,nonexistent,no
33,admin.,single,professional.course,no,yes,no,cellular,jul,thu,134,2,999,0,nonexistent,no
35,admin.,married,high.school,no,no,no,telephone,jun,thu,193,1,999,0,nonexistent,no
34,admin.,married,high.school,no,no,no,telephone,jun,wed,638,1,999,0,nonexistent,yes
42,admin.,divorced,professional.course,no,no,no,cellular,may,thu,37,2,999,1,failure,no
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,2,999,0,nonexistent,no
40,admin.,divorced,university.degree,unknown,yes,no,cellular,aug,tue,1200,2,999,0,nonexistent,no
49,technician,divorced,professional.course,no,yes,no,cellular,mar,tue,361,2,999,1,failure,no
53,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,367,1,999,0,nonexistent,yes
45,unemployed,married,high.school,no,yes,no,cellular,jul,mon,99,2,999,0,nonexistent,no
38,technician,married,professional.course,no,yes,no,cellular,aug,tue,124,3,999,0,nonexistent,no
35,blue-collar,married,basic.9y,no,yes,no,telephone,oct,tue,4,1,999,0,nonexistent,no
43,blue-collar,married,basic.6y,no,no,no,telephone,may,fri,218,3,999,0,nonexistent,no
58,retired,married,high.school,unknown,yes,no,cellular,may,tue,159,1,999,1,failure,no
30,technician,married,professional.course,no,yes,no,cellular,may,fri,156,4,999,0,nonexistent,no
48,blue-collar,married,basic.9y,no,no,yes,cellular,aug,wed,76,2,999,0,nonexistent,no
36,admin.,divorced,high.school,no,yes,no,cellular,may,tue,236,1,999,1,failure,no
30,admin.,married,university.degree,no,no,no,cellular,jul,fri,70,1,999,0,nonexistent,no
33,admin.,single,professional.course,no,no,no,telephone,jun,thu,122,1,999,0,nonexistent,no
39,technician,married,professional.course,no,yes,no,cellular,jul,wed,225,2,999,0,nonexistent,no
39,blue-collar,single,basic.9y,no,yes,no,cellular,nov,mon,78,2,999,0,nonexistent,no
43,admin.,single,university.degree,no,yes,no,cellular,aug,thu,62,5,999,0,nonexistent,no
33,services,single,high.school,no,no,no,telephone,jun,fri,9,18,999,0,nonexistent,no
40,management,married,university.degree,no,yes,no,telephone,oct,wed,172,1,999,0,nonexistent,no
44,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,390,2,999,0,nonexistent,no
44,admin.,married,high.school,no,no,no,cellular,nov,fri,10,7,999,0,nonexistent,no
33,services,divorced,university.degree,no,yes,no,cellular,apr,thu,230,1,999,0,nonexistent,no
47,self-employed,divorced,university.degree,no,no,no,cellular,mar,tue,261,1,999,0,nonexistent,yes
51,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,353,4,999,0,nonexistent,no
59,services,divorced,high.school,no,no,no,telephone,may,wed,231,1,999,0,nonexistent,no
49,technician,married,high.school,no,yes,no,telephone,may,wed,418,2,999,0,nonexistent,no
49,unknown,unknown,unknown,unknown,yes,yes,cellular,jul,mon,49,9,999,0,nonexistent,no
50,services,single,basic.4y,no,yes,no,telephone,jun,tue,355,2,999,0,nonexistent,no
30,admin.,single,university.degree,no,yes,no,telephone,may,mon,255,1,999,0,nonexistent,no
45,student,single,unknown,no,yes,no,cellular,oct,wed,316,2,999,2,failure,no
31,services,single,high.school,no,no,yes,cellular,may,thu,50,2,999,1,failure,no
48,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,602,3,999,0,nonexistent,no
36,self-employed,divorced,basic.9y,no,no,no,cellular,nov,wed,133,1,999,2,failure,no
38,housemaid,single,basic.4y,unknown,no,no,cellular,jul,mon,457,5,999,0,nonexistent,no
34,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,310,2,999,0,nonexistent,no
32,technician,single,high.school,no,yes,no,cellular,aug,fri,85,2,999,0,nonexistent,no
31,management,single,university.degree,no,no,no,cellular,jul,wed,645,1,999,0,nonexistent,yes
35,self-employed,married,university.degree,no,no,no,cellular,jul,thu,1175,2,999,0,nonexistent,yes
56,retired,married,high.school,unknown,yes,no,cellular,aug,thu,674,1,999,0,nonexistent,yes
38,admin.,single,basic.9y,no,no,yes,telephone,jun,fri,111,3,999,0,nonexistent,no
30,blue-collar,single,basic.4y,unknown,yes,yes,cellular,jul,mon,213,1,999,0,nonexistent,no
32,technician,married,high.school,unknown,yes,no,cellular,aug,mon,73,6,999,0,nonexistent,no
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,136,2,999,0,nonexistent,no
45,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,360,5,999,0,nonexistent,no
46,management,married,basic.6y,no,no,no,cellular,nov,mon,116,1,999,0,nonexistent,no
22,student,single,high.school,no,no,no,cellular,may,fri,87,2,999,0,nonexistent,no
40,technician,married,basic.9y,no,yes,no,telephone,may,thu,257,1,999,0,nonexistent,no
35,admin.,divorced,high.school,no,no,yes,telephone,jun,mon,15,15,999,0,nonexistent,no
60,unknown,married,unknown,unknown,yes,no,cellular,aug,tue,130,3,999,0,nonexistent,no
55,admin.,married,high.school,no,no,no,cellular,aug,wed,231,4,999,0,nonexistent,no
28,admin.,married,high.school,no,no,no,telephone,jun,tue,98,1,999,0,nonexistent,no
48,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,tue,106,1,999,0,nonexistent,no
53,management,married,university.degree,no,yes,no,cellular,nov,tue,244,2,999,0,nonexistent,no
30,admin.,single,university.degree,no,no,no,cellular,jul,mon,128,3,999,0,nonexistent,no
51,management,married,university.degree,no,yes,no,cellular,may,mon,131,2,999,4,failure,no
35,technician,divorced,professional.course,no,no,yes,cellular,nov,wed,98,1,999,0,nonexistent,no
29,blue-collar,single,high.school,unknown,yes,no,telephone,may,thu,133,2,999,0,nonexistent,no
50,services,married,high.school,unknown,yes,no,telephone,may,tue,175,2,999,0,nonexistent,no
41,management,married,university.degree,unknown,yes,no,telephone,jun,thu,230,7,999,0,nonexistent,no
24,student,single,high.school,no,yes,no,cellular,aug,fri,456,1,999,0,nonexistent,yes
31,admin.,single,university.degree,no,yes,no,cellular,jul,wed,335,1,999,0,nonexistent,no
48,unemployed,married,basic.4y,unknown,no,no,cellular,jul,tue,163,6,999,0,nonexistent,no
33,management,married,university.degree,unknown,yes,yes,cellular,apr,tue,258,8,999,0,nonexistent,no
27,self-employed,single,university.degree,no,no,no,cellular,aug,mon,241,2,999,0,nonexistent,no
32,technician,single,university.degree,no,no,no,cellular,apr,wed,59,3,999,0,nonexistent,no
38,admin.,married,basic.9y,no,no,yes,telephone,jun,tue,404,4,999,0,nonexistent,no
33,admin.,single,university.degree,no,no,no,cellular,jul,mon,546,2,999,0,nonexistent,no
48,self-employed,married,university.degree,unknown,yes,no,telephone,may,thu,750,2,999,0,nonexistent,no
27,student,single,unknown,no,yes,no,cellular,apr,thu,176,1,999,1,failure,no
35,admin.,married,professional.course,no,yes,no,cellular,may,mon,76,2,3,1,success,no
36,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,298,3,999,0,nonexistent,no
60,services,married,high.school,unknown,no,no,cellular,aug,tue,73,1,999,0,nonexistent,no
41,technician,married,professional.course,no,no,no,cellular,aug,tue,131,1,999,0,nonexistent,no
27,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,68,1,999,0,nonexistent,no
36,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,171,1,999,0,nonexistent,no
52,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,thu,82,1,999,0,nonexistent,no
60,retired,married,high.school,unknown,no,no,telephone,jul,fri,133,7,999,0,nonexistent,no
52,services,divorced,basic.4y,no,yes,no,cellular,jun,tue,80,3,999,1,failure,no
34,admin.,single,high.school,no,yes,no,cellular,apr,fri,183,1,999,1,failure,no
38,admin.,married,basic.9y,unknown,yes,no,cellular,nov,mon,508,1,999,1,failure,no
58,blue-collar,married,unknown,unknown,yes,yes,cellular,aug,fri,48,2,999,0,nonexistent,no
51,technician,married,professional.course,no,no,yes,cellular,dec,mon,267,2,999,0,nonexistent,yes
45,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,157,9,999,0,nonexistent,no
35,entrepreneur,married,university.degree,no,yes,no,telephone,jul,wed,82,3,999,0,nonexistent,no
23,student,single,high.school,no,yes,no,cellular,apr,thu,354,3,999,0,nonexistent,no
52,services,married,high.school,no,yes,no,cellular,may,fri,121,1,999,1,failure,no
52,admin.,married,university.degree,unknown,yes,no,cellular,nov,fri,32,1,999,0,nonexistent,no
55,admin.,divorced,university.degree,no,yes,yes,cellular,jul,thu,209,1,999,0,nonexistent,no
56,self-employed,married,basic.9y,unknown,no,no,cellular,jul,fri,571,1,999,0,nonexistent,no
57,retired,single,high.school,no,yes,no,telephone,may,fri,128,1,999,0,nonexistent,no
31,blue-collar,single,unknown,no,yes,no,telephone,may,fri,273,2,999,0,nonexistent,no
47,technician,married,professional.course,unknown,no,yes,telephone,may,mon,68,1,999,0,nonexistent,no
46,blue-collar,married,basic.6y,unknown,no,yes,cellular,aug,tue,166,1,999,0,nonexistent,no
46,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,886,3,999,0,nonexistent,no
34,self-employed,married,university.degree,no,yes,no,cellular,nov,wed,213,5,999,0,nonexistent,no
39,management,married,university.degree,no,no,no,cellular,nov,tue,435,1,999,0,nonexistent,no
29,blue-collar,married,basic.4y,no,no,no,cellular,nov,wed,219,2,999,0,nonexistent,no
42,blue-collar,single,basic.6y,no,unknown,unknown,telephone,jun,thu,59,3,999,0,nonexistent,no
32,blue-collar,single,basic.9y,no,yes,no,cellular,may,tue,286,1,999,0,nonexistent,no
41,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,471,2,999,0,nonexistent,no
62,housemaid,married,basic.4y,no,yes,no,cellular,nov,thu,443,1,999,0,nonexistent,no
33,admin.,married,high.school,no,yes,no,cellular,jul,wed,134,1,999,0,nonexistent,no
40,services,married,high.school,unknown,no,no,telephone,may,mon,255,1,999,0,nonexistent,no
32,admin.,divorced,basic.9y,no,yes,no,cellular,jul,mon,118,3,999,0,nonexistent,no
45,management,single,basic.9y,no,yes,no,telephone,jun,fri,294,2,999,0,nonexistent,no
28,technician,single,professional.course,no,yes,no,cellular,may,wed,244,1,999,0,nonexistent,no
37,services,divorced,basic.9y,no,no,no,cellular,jul,wed,885,1,999,0,nonexistent,no
28,unknown,single,basic.9y,unknown,yes,no,telephone,may,wed,99,2,999,0,nonexistent,no
34,admin.,married,university.degree,no,no,no,telephone,sep,fri,290,2,999,0,nonexistent,yes
27,services,single,high.school,no,yes,no,cellular,may,thu,88,1,999,1,failure,no
43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,2,999,0,nonexistent,no
39,services,divorced,high.school,no,yes,no,telephone,may,tue,90,1,999,0,nonexistent,no
34,blue-collar,married,university.degree,no,yes,yes,cellular,may,fri,183,1,999,0,nonexistent,no
42,admin.,married,high.school,no,yes,yes,telephone,jul,mon,388,1,999,0,nonexistent,no
77,retired,divorced,basic.4y,no,no,no,cellular,may,tue,393,1,999,0,nonexistent,yes
63,retired,married,professional.course,no,yes,no,cellular,apr,wed,387,2,999,0,nonexistent,yes
36,technician,married,professional.course,no,no,no,telephone,may,tue,769,2,999,0,nonexistent,no
44,services,married,high.school,no,yes,no,telephone,jun,fri,618,4,999,0,nonexistent,no
29,blue-collar,single,basic.9y,no,no,no,telephone,jun,mon,411,1,999,0,nonexistent,no
44,services,divorced,high.school,no,yes,no,cellular,may,thu,533,1,999,0,nonexistent,yes
36,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,55,3,999,0,nonexistent,no
40,management,married,high.school,no,no,no,telephone,may,wed,238,3,999,0,nonexistent,no
38,technician,married,professional.course,no,yes,no,cellular,apr,mon,90,2,999,0,nonexistent,no
36,admin.,single,high.school,no,no,no,cellular,may,tue,189,1,999,0,nonexistent,no
25,technician,single,university.degree,no,no,no,cellular,jul,tue,460,3,999,0,nonexistent,yes
51,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,207,1,999,0,nonexistent,no
31,management,married,university.degree,no,yes,no,cellular,oct,tue,255,3,4,1,success,yes
58,retired,married,high.school,no,yes,no,telephone,may,tue,104,2,999,0,nonexistent,no
40,admin.,divorced,basic.9y,no,yes,no,cellular,nov,tue,394,2,999,0,nonexistent,no
24,technician,single,professional.course,no,yes,no,cellular,jul,thu,355,2,3,1,success,yes
39,housemaid,married,basic.4y,no,no,no,cellular,aug,thu,183,1,999,0,nonexistent,no
63,retired,married,professional.course,no,no,no,cellular,dec,mon,83,4,999,0,nonexistent,no
47,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,160,1,999,0,nonexistent,no
56,management,married,university.degree,no,no,no,telephone,jun,thu,403,5,999,0,nonexistent,no
53,management,married,high.school,no,no,no,cellular,nov,thu,184,1,999,1,failure,no
27,admin.,single,high.school,no,yes,no,telephone,jul,fri,41,1,999,0,nonexistent,no
33,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,199,1,999,0,nonexistent,no
46,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,mon,188,1,999,0,nonexistent,no
46,entrepreneur,married,professional.course,unknown,no,no,telephone,jun,mon,88,1,999,0,nonexistent,no
34,admin.,married,university.degree,no,yes,yes,cellular,may,mon,582,1,999,0,nonexistent,no
38,services,single,high.school,unknown,yes,no,cellular,jul,tue,109,3,999,0,nonexistent,no
46,technician,divorced,professional.course,no,no,no,cellular,jul,tue,114,4,999,0,nonexistent,no
49,entrepreneur,married,basic.4y,unknown,yes,yes,telephone,may,tue,222,2,999,0,nonexistent,no
26,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,295,1,999,0,nonexistent,no
37,technician,single,university.degree,no,yes,no,cellular,jul,wed,256,1,999,0,nonexistent,no
32,admin.,single,university.degree,no,yes,no,telephone,oct,tue,376,1,999,2,failure,no
37,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,91,1,999,0,nonexistent,no
23,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,268,5,999,1,failure,yes
39,management,single,basic.9y,no,yes,no,cellular,nov,mon,125,1,999,0,nonexistent,no
38,technician,single,professional.course,unknown,yes,no,telephone,jun,fri,111,5,999,0,nonexistent,no
26,services,single,university.degree,no,yes,no,telephone,may,tue,139,4,999,0,nonexistent,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,232,2,999,0,nonexistent,no
56,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,369,1,999,0,nonexistent,no
43,entrepreneur,married,high.school,no,yes,yes,telephone,may,mon,642,2,999,0,nonexistent,yes
31,technician,married,university.degree,no,no,no,telephone,nov,mon,57,4,999,0,nonexistent,no
53,services,divorced,basic.9y,no,no,no,cellular,jul,fri,127,3,999,0,nonexistent,no
42,entrepreneur,married,university.degree,unknown,no,no,cellular,jul,fri,400,6,999,0,nonexistent,no
40,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,63,3,999,0,nonexistent,no
41,blue-collar,single,basic.4y,no,yes,no,cellular,apr,mon,94,1,999,0,nonexistent,no
44,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,73,3,999,0,nonexistent,no
49,admin.,married,university.degree,no,yes,yes,telephone,may,tue,18,1,999,0,nonexistent,no
40,blue-collar,married,basic.4y,unknown,yes,yes,cellular,nov,thu,74,1,999,0,nonexistent,no
31,technician,single,high.school,no,yes,yes,cellular,aug,tue,768,1,999,0,nonexistent,yes
46,entrepreneur,married,basic.9y,no,no,no,cellular,aug,fri,169,1,999,0,nonexistent,no
49,management,married,basic.9y,no,unknown,unknown,cellular,nov,tue,336,1,999,0,nonexistent,no
56,unknown,married,unknown,unknown,yes,no,telephone,may,fri,174,15,999,0,nonexistent,no
53,technician,married,professional.course,no,yes,no,cellular,aug,thu,190,1,999,0,nonexistent,no
35,blue-collar,divorced,basic.9y,no,no,no,telephone,jun,thu,77,2,999,0,nonexistent,no
41,housemaid,married,high.school,no,yes,yes,telephone,jun,fri,168,2,999,0,nonexistent,no
52,management,married,high.school,no,yes,no,cellular,nov,tue,75,1,999,1,failure,no
42,management,divorced,unknown,no,yes,no,cellular,aug,wed,266,2,999,0,nonexistent,no
26,self-employed,single,university.degree,no,no,no,cellular,may,wed,78,1,999,0,nonexistent,no
36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,825,1,6,1,success,yes
57,management,divorced,university.degree,no,yes,no,telephone,may,fri,754,1,999,0,nonexistent,no
47,services,single,basic.9y,no,no,no,cellular,jul,mon,64,2,999,0,nonexistent,no
54,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,415,2,999,0,nonexistent,no
29,admin.,single,university.degree,no,no,no,telephone,jul,fri,277,1,999,0,nonexistent,no
47,technician,married,professional.course,unknown,yes,no,cellular,may,tue,60,1,999,0,nonexistent,no
32,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1871,2,999,0,nonexistent,no
41,self-employed,divorced,university.degree,no,no,no,cellular,aug,thu,182,4,999,0,nonexistent,no
40,technician,single,university.degree,no,yes,no,cellular,aug,tue,173,1,999,0,nonexistent,no
48,technician,married,professional.course,unknown,yes,no,cellular,jul,thu,5,2,999,0,nonexistent,no
43,blue-collar,married,basic.6y,no,yes,no,cellular,jul,tue,220,2,999,0,nonexistent,no
52,admin.,single,university.degree,no,no,yes,cellular,jun,mon,212,1,999,0,nonexistent,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,389,1,999,0,nonexistent,no
29,admin.,divorced,university.degree,no,no,no,telephone,jun,mon,187,3,999,0,nonexistent,no
57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,no
36,management,married,university.degree,no,yes,no,cellular,nov,wed,638,2,999,0,nonexistent,no
48,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,604,1,999,0,nonexistent,no
35,admin.,single,high.school,no,no,no,cellular,jul,fri,441,12,999,0,nonexistent,no
50,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,98,17,999,0,nonexistent,no
42,management,married,basic.6y,no,yes,no,telephone,sep,thu,230,3,999,0,nonexistent,yes
40,blue-collar,married,basic.4y,no,no,no,telephone,jun,thu,354,7,999,0,nonexistent,no
34,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,1054,2,999,0,nonexistent,no
28,services,single,basic.6y,no,yes,no,cellular,jul,thu,229,1,999,0,nonexistent,no
29,blue-collar,married,basic.9y,no,no,no,cellular,jul,thu,613,1,999,0,nonexistent,no
49,management,married,high.school,no,yes,no,telephone,jun,mon,26,18,999,0,nonexistent,no
31,admin.,married,university.degree,no,yes,no,cellular,may,wed,136,2,3,1,success,no
40,blue-collar,married,high.school,no,yes,no,telephone,may,tue,59,1,999,0,nonexistent,no
32,management,married,university.degree,no,yes,no,cellular,jun,mon,54,3,999,0,nonexistent,no
34,blue-collar,married,high.school,no,yes,no,telephone,jun,mon,562,3,999,0,nonexistent,no
50,management,married,professional.course,no,no,no,cellular,jul,thu,162,1,999,0,nonexistent,no
32,entrepreneur,married,high.school,no,yes,no,cellular,nov,thu,356,1,999,0,nonexistent,no
47,admin.,divorced,university.degree,no,no,yes,cellular,aug,tue,264,19,999,0,nonexistent,no
