school_id_masked,ben_date,censored,mixed_demand,cluster_id,tot_enrol,s_1_5_boys,s_1_5_girls,s_6_8_boys,s_6_8_girls,loc_type,school_grp,Month,Day,Week,Year,lag1_grp_mnth_dd,lag2_grp_mnth_dd,lag3_grp_mnth_dd,prop_grp_mnth_dd,prop_grp_boys15,prop_grp_girls15,prop_grp_boys68,prop_grp_girls68,prop_wk_boys15,prop_wk_girls15,prop_wk_boys68,prop_wk_girls68,true_demand
ZYD-CU7,7/2/2016,1,41.6,0,406,124,115,88,79,Urban,ZYD,7,2,27,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,49.98
ZYD-CU7,7/12/2016,0,18.6,0,406,124,115,88,79,Urban,ZYD,7,12,29,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,18.60
ZYD-CU7,7/15/2016,1,47.6,0,406,124,115,88,79,Urban,ZYD,7,15,29,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,55.91
ZYD-CU7,7/18/2016,0,13.1,0,406,124,115,88,79,Urban,ZYD,7,18,30,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,13.10
ZYD-CU7,7/26/2016,1,41.6,0,406,124,115,88,79,Urban,ZYD,7,26,31,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,49.98
ZYD-CU7,7/29/2016,0,26.8,0,406,124,115,88,79,Urban,ZYD,7,29,31,2016,44.75,0,24.2,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,26.80
ZYD-CU7,10/2/2016,0,17.2,0,406,124,115,88,79,Urban,ZYD,10,2,41,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,17.20
ZYD-CU7,10/18/2016,0,20.8,0,406,124,115,88,79,Urban,ZYD,10,18,43,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,20.80
ZYD-CU7,10/19/2016,0,29.8,0,406,124,115,88,79,Urban,ZYD,10,19,43,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,29.80
ZYD-CU6,1/19/2015,0,0,0,305,95,99,63,48,Urban,ZYD,1,19,4,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
ZYD-CU6,6/8/2015,0,7.63,0,305,95,99,63,48,Urban,ZYD,6,8,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,7.63
ZYD-CU6,6/18/2015,0,22.25,0,305,95,99,63,48,Urban,ZYD,6,18,25,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,22.25
ZYD-CU6,7/11/2015,0,0,0,305,95,99,63,48,Urban,ZYD,7,11,28,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.00
ZYD-CU6,8/1/2015,0,17.36,0,305,95,99,63,48,Urban,ZYD,8,1,31,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,17.36
ZYD-CU6,12/29/2015,0,1.09,0,305,95,99,63,48,Urban,ZYD,12,29,53,2015,9.96,17.8,0,0.11,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,1.09
ZYD-CU6,8/30/2016,0,15.4,0,305,95,99,63,48,Urban,ZYD,8,30,36,2016,356.7,44.75,0,0.14,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,15.40
ZYD-CU6,11/19/2016,0,3.3,0,305,95,99,63,48,Urban,ZYD,11,19,47,2016,111.05,0,33.4,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,3.30
ZYD-CU5,1/1/2015,0,8.44,0,178,54,49,37,38,Urban,ZYD,1,1,1,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,8.44
ZYD-CU5,2/27/2015,0,9.24,0,178,54,49,37,38,Urban,ZYD,2,27,9,2015,81.36,89.2,0,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,9.24
ZYD-CU5,6/8/2015,0,0.02,0,178,54,49,37,38,Urban,ZYD,6,8,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.02
ZYD-CU5,6/12/2015,1,17.8,0,178,54,49,37,38,Urban,ZYD,6,12,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,32.75
ZYD-CU5,6/16/2015,0,12.86,0,178,54,49,37,38,Urban,ZYD,6,16,25,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,12.86
ZYD-CU5,7/11/2015,0,1.91,0,178,54,49,37,38,Urban,ZYD,7,11,28,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,1.91
ZYD-CU5,7/17/2015,0,14.05,0,178,54,49,37,38,Urban,ZYD,7,17,29,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,14.05
ZYD-CU5,7/27/2015,0,7.69,0,178,54,49,37,38,Urban,ZYD,7,27,31,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,7.69
ZYD-CU5,8/5/2015,0,12.59,0,178,54,49,37,38,Urban,ZYD,8,5,32,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,12.59
ZYD-CU5,9/12/2015,0,0,0,178,54,49,37,38,Urban,ZYD,9,12,37,2015,157.93,98.39,139.14,0.00,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00
ZYD-CU3,1/2/2015,1,17.8,0,129,40,45,17,27,Urban,ZYD,1,2,1,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,32.75
ZYD-CU3,1/22/2015,0,2.2,0,129,40,45,17,27,Urban,ZYD,1,22,4,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.20
ZYD-CU3,7/11/2015,0,2.84,0,129,40,45,17,27,Urban,ZYD,7,11,28,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,2.84
ZYD-CU3,8/6/2015,0,19.9,0,129,40,45,17,27,Urban,ZYD,8,6,32,2015,98.39,139.14,0,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,19.90
ZYD-CU3,12/14/2015,0,13.28,0,129,40,45,17,27,Urban,ZYD,12,14,51,2015,9.96,17.8,0,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,13.28
ZYD-CU3,1/23/2016,0,1.62,0,129,40,45,17,27,Urban,ZYD,1,23,4,2016,72.44,9.96,17.8,0.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.62
ZYD-CU3,10/20/2016,0,4.6,0,129,40,45,17,27,Urban,ZYD,10,20,43,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4.60
ZYD-CU1,1/6/2015,1,31,0,362,94,101,103,64,Urban,ZYD,1,6,2,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,39.55
ZYD-CU1,1/12/2015,0,21.92,0,362,94,101,103,64,Urban,ZYD,1,12,3,2015,89.2,0,0,0.10,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,21.92
ZYD-CU1,3/25/2015,0,15.62,0,362,94,101,103,64,Urban,ZYD,3,25,13,2015,9.24,81.36,89.2,0.05,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,15.62
ZYD-CU1,6/8/2015,0,0,0,362,94,101,103,64,Urban,ZYD,6,8,24,2015,0,0,34.74,0.13,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.00
ZYD-CU1,7/11/2015,0,0,0,362,94,101,103,64,Urban,ZYD,7,11,28,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.00
ZYD-CU1,7/31/2015,0,11.37,0,362,94,101,103,64,Urban,ZYD,7,31,31,2015,139.14,0,0,0.32,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,11.37
ZYD-CU1,10/20/2015,1,17.8,0,362,94,101,103,64,Urban,ZYD,10,20,43,2015,0,157.93,98.39,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,32.75
ZYD-CU1,12/5/2015,0,8.78,0,362,94,101,103,64,Urban,ZYD,12,5,49,2015,9.96,17.8,0,0.11,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,8.78
ZYD-CU1,4/14/2016,0,0,0,362,94,101,103,64,Urban,ZYD,4,14,16,2016,39.7,27.33,66.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00
ZYD-CU1,10/25/2016,0,1.3,0,362,94,101,103,64,Urban,ZYD,10,25,44,2016,0,33.4,356.7,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.30
ZYD-CU1,11/18/2016,0,0,0,362,94,101,103,64,Urban,ZYD,11,18,47,2016,111.05,0,33.4,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.00
SYZYYB-CU3,12/26/2014,1,17.8,0,158,34,59,27,38,Urban,SYZ,12,26,52,2014,0,0,0,0.14,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,32.75
SYZYYB-CU3,1/16/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,1,16,3,2015,211.96,0,0,0.17,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,32.75
SYZYYB-CU3,2/13/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,2,13,7,2015,342.44,211.96,0,0.08,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,32.75
SYZYYB-CU3,2/16/2015,0,9.12,0,158,34,59,27,38,Urban,SYZ,2,16,8,2015,342.44,211.96,0,0.08,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,9.12
SYZYYB-CU3,3/3/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,3,3,10,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.03,0.04,0.03,0.04,32.75
SYZYYB-CU3,3/11/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,3,11,11,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.04,32.75
SYZYYB-CU3,3/17/2015,0,9.42,0,158,34,59,27,38,Urban,SYZ,3,17,12,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,9.42
SYZYYB-CU3,3/20/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,3,20,12,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,32.75
SYZYYB-CU3,3/26/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,3,26,13,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,32.75
SYZYYB-CU3,3/30/2015,1,17.8,0,158,34,59,27,38,Urban,SYZ,3,30,14,2015,142.56,342.44,211.96,0.18,0.02,0.03,0.02,0.03,0.01,0.01,0.02,0.01,32.75
SYZYYB-CU3,10/26/2015,0,12.53,0,158,34,59,27,38,Urban,SYZ,10,26,44,2015,214.89,97.6,45.66,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,12.53
SYZYYB-CU3,11/30/2015,0,0,0,158,34,59,27,38,Urban,SYZ,11,30,49,2015,75.01,214.89,97.6,0.00,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.00
SYZYYB-CU3,6/6/2016,0,0,0,158,34,59,27,38,Urban,SYZ,6,6,24,2016,0,11.5,82.64,0.15,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.00
MYZ-CU9CU4,12/4/2014,1,47.6,0,480,144,115,114,107,Rural,MYZ,12,4,49,2014,0,0,0,0.13,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,55.91
MYZ-CU9CU4,12/6/2014,1,35.6,0,480,144,115,114,107,Rural,MYZ,12,6,49,2014,0,0,0,0.13,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,43.13
MYZ-CU9CU4,1/12/2015,0,36.78,0,480,144,115,114,107,Rural,MYZ,1,12,3,2015,1330,0,0,0.12,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,36.78
MYZ-CU9CU4,1/21/2015,1,47.6,0,480,144,115,114,107,Rural,MYZ,1,21,4,2015,1330,0,0,0.12,0.14,0.13,0.16,0.15,0.02,0.02,0.02,0.02,55.91
MYZ-CU9CU4,1/30/2015,1,47.6,0,480,144,115,114,107,Rural,MYZ,1,30,5,2015,1330,0,0,0.12,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,55.91
MYZ-CU9CU4,2/9/2015,0,7.22,0,480,144,115,114,107,Rural,MYZ,2,9,7,2015,1499.15,1330,0,0.09,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,7.22
MYZ-CU9CU4,6/16/2015,1,47.6,0,480,144,115,114,107,Rural,MYZ,6,16,25,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.03,0.02,0.03,0.03,55.91
MYZ-CU9CU4,6/17/2015,0,41.47,0,480,144,115,114,107,Rural,MYZ,6,17,25,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.03,0.02,0.03,0.03,41.47
MYZ-CU9CU4,7/4/2015,1,47.6,0,480,144,115,114,107,Rural,MYZ,7,4,27,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,55.91
MYZ-CU9CU4,7/20/2015,0,42.5,0,480,144,115,114,107,Rural,MYZ,7,20,30,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,42.50
MYZ-CU9CU4,7/23/2015,0,39.98,0,480,144,115,114,107,Rural,MYZ,7,23,30,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,39.98
MYZ-CU9CU4,10/30/2015,1,47.6,0,480,144,115,114,107,Rural,MYZ,10,30,44,2015,689.07,706.02,1369.66,0.07,0.14,0.13,0.16,0.15,0.02,0.02,0.02,0.02,55.91
MYZ-CU9CU4,12/18/2015,0,44.11,0,480,144,115,114,107,Rural,MYZ,12,18,51,2015,108.75,607.28,689.07,0.13,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,44.11
MYZ-CU9CU4,9/9/2016,0,0,0,480,144,115,114,107,Rural,MYZ,9,9,37,2016,600.34,1266.85,478.7,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,0.00
MYZ-CU9CU4,10/2/2016,0,27.4,0,480,144,115,114,107,Rural,MYZ,10,2,41,2016,359,600.34,1266.85,0.07,0.14,0.13,0.16,0.15,0.03,0.02,0.03,0.03,27.40
MYZ-CU9CU4,11/18/2016,0,22.8,0,480,144,115,114,107,Rural,MYZ,11,18,47,2016,489.6,359,600.34,0.02,0.14,0.13,0.16,0.15,0.02,0.02,0.03,0.03,22.80
MYZ-CU9CU1,1/15/2015,0,9.1,0,477,142,122,121,92,Rural,MYZ,1,15,3,2015,1330,0,0,0.12,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,9.10
MYZ-CU9CU1,3/2/2015,0,33.18,0,477,142,122,121,92,Rural,MYZ,3,2,10,2015,994.59,1499.15,1330,0.12,0.14,0.13,0.16,0.15,0.03,0.04,0.03,0.04,33.18
MYZ-CU9CU1,7/14/2015,0,14.98,0,477,142,122,121,92,Rural,MYZ,7,14,29,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,14.98
MYZ-CU9CU1,9/12/2015,0,0,0,477,142,122,121,92,Rural,MYZ,9,12,37,2015,706.02,1369.66,1384.97,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,0.00
MYZ-CU9CU1,11/18/2016,0,0,0,477,142,122,121,92,Rural,MYZ,11,18,47,2016,489.6,359,600.34,0.02,0.14,0.13,0.16,0.15,0.02,0.02,0.03,0.03,0.00
MYZ-CU9,2/4/2015,0,4.4,0,155,45,47,37,26,Rural,MYZ,2,4,6,2015,1499.15,1330,0,0.09,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,4.40
MYZ-CU9,2/16/2015,0,0,0,155,45,47,37,26,Rural,MYZ,2,16,8,2015,1499.15,1330,0,0.09,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,0.00
MYZ-CU9,6/8/2015,0,0,0,155,45,47,37,26,Rural,MYZ,6,8,24,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.04,0.04,0.04,0.04,0.00
MYZ-CU9,6/10/2015,0,2.86,0,155,45,47,37,26,Rural,MYZ,6,10,24,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.04,0.04,0.04,0.04,2.86
MYZ-CU9,6/11/2015,1,17.8,0,155,45,47,37,26,Rural,MYZ,6,11,24,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.04,0.04,0.04,0.04,32.75
MYZ-CU9,6/16/2015,0,14.81,0,155,45,47,37,26,Rural,MYZ,6,16,25,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.03,0.02,0.03,0.03,14.81
MYZ-CU9,6/18/2015,0,15.55,0,155,45,47,37,26,Rural,MYZ,6,18,25,2015,0,0,1322.99,0.12,0.14,0.13,0.16,0.15,0.03,0.02,0.03,0.03,15.55
MYZ-CU9,7/9/2015,0,13.98,0,155,45,47,37,26,Rural,MYZ,7,9,28,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,13.98
MYZ-CU9,7/11/2015,0,1.91,0,155,45,47,37,26,Rural,MYZ,7,11,28,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,1.91
MYZ-CU9,6/7/2016,0,13.65,0,155,45,47,37,26,Rural,MYZ,6,7,24,2016,0,167.84,625.21,0.12,0.14,0.13,0.16,0.15,0.04,0.04,0.04,0.04,13.65
MYZ-CU8CU8,7/31/2015,0,3.02,0,159,49,42,41,27,Rural,MYZ,7,31,31,2015,1384.97,0,0,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,3.02
MYZ-CU8CU8,9/9/2015,0,0,0,159,49,42,41,27,Rural,MYZ,9,9,37,2015,706.02,1369.66,1384.97,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,0.00
MYZ-CU8CU8,9/12/2015,0,0,0,159,49,42,41,27,Rural,MYZ,9,12,37,2015,706.02,1369.66,1384.97,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,0.00
MYZ-CU8CU8,9/19/2015,0,0.58,0,159,49,42,41,27,Rural,MYZ,9,19,38,2015,706.02,1369.66,1384.97,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,0.58
MYZ-CU8CU8,7/5/2016,0,7.6,0,159,49,42,41,27,Rural,MYZ,7,5,28,2016,478.7,0,167.84,0.17,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,7.60
MYZ-CU8CU8,7/6/2016,0,9,0,159,49,42,41,27,Rural,MYZ,7,6,28,2016,478.7,0,167.84,0.17,0.14,0.13,0.16,0.15,0.02,0.03,0.02,0.03,9.00
MYZ-CU8CU8,7/12/2016,0,9.2,0,159,49,42,41,27,Rural,MYZ,7,12,29,2016,478.7,0,167.84,0.17,0.14,0.13,0.16,0.15,0.03,0.03,0.03,0.03,9.20
MYZ-CU8CU8,9/7/2016,0,8.8,0,159,49,42,41,27,Rural,MYZ,9,7,37,2016,600.34,1266.85,478.7,0.07,0.14,0.13,0.16,0.15,0.01,0.01,0.01,0.01,8.80
