School_Id_Masked,Ben_Date,censored,Mixed_Demand,cluster_id
ZYD-CU7,10/2/2016,0,17.2,0
ZYD-CU7,10/18/2016,0,20.8,0
ZYD-CU7,10/19/2016,0,29.8,0
ZYD-CU6,1/19/2015,0,0,0
ZYD-CU6,6/8/2015,0,7.63,0
ZYD-CU6,6/18/2015,0,22.25,0
ZYD-CU6,7/11/2015,0,0,0
ZYD-CU6,8/1/2015,0,17.36,0
ZYD-CU6,12/29/2015,0,1.09,0
ZYD-CU6,8/30/2016,0,15.4,0
ZYD-CU6,11/19/2016,0,3.3,0
ZYD-CU5,1/1/2015,0,8.44,0
ZYD-CU5,2/27/2015,0,9.24,0
ZYD-CU5,6/8/2015,0,0.02,0
ZYD-CU5,6/12/2015,1,17.8,0
ZYD-CU5,6/16/2015,0,12.86,0
ZYD-CU5,7/11/2015,0,1.91,0
ZYD-CU5,7/17/2015,0,14.05,0
ZYD-CU5,7/27/2015,0,7.69,0
ZYD-CU5,8/5/2015,0,12.59,0
ZYD-CU5,9/12/2015,0,0,0
ZYD-CU3,1/2/2015,1,17.8,0
ZYD-CU3,1/22/2015,0,2.2,0
ZYD-CU3,7/11/2015,0,2.84,0
ZYD-CU3,8/6/2015,0,19.9,0
ZYD-CU3,12/14/2015,0,13.28,0
ZYD-CU3,1/23/2016,0,1.62,0
ZYD-CU3,10/20/2016,0,4.6,0
ZYD-CU1,1/6/2015,1,31,0
ZYD-CU1,1/12/2015,0,21.92,0
ZYD-CU1,3/25/2015,0,15.62,0
ZYD-CU1,6/8/2015,0,0,0
ZYD-CU1,7/11/2015,0,0,0
ZYD-CU1,7/31/2015,0,11.37,0
ZYD-CU1,10/20/2015,1,17.8,0
ZYD-CU1,12/5/2015,0,8.78,0
ZYD-CU1,4/14/2016,0,0,0
ZYD-CU1,10/25/2016,0,1.3,0
ZYD-CU1,11/18/2016,0,0,0
SYZYYB-CU3,12/26/2014,1,17.8,0
SYZYYB-CU3,1/16/2015,1,17.8,0
SYZYYB-CU3,2/13/2015,1,17.8,0
SYZYYB-CU3,2/16/2015,0,9.12,0
SYZYYB-CU3,3/3/2015,1,17.8,0
SYZYYB-CU3,3/11/2015,1,17.8,0
SYZYYB-CU3,3/17/2015,0,9.42,0
SYZYYB-CU3,3/20/2015,1,17.8,0
SYZYYB-CU3,3/26/2015,1,17.8,0
SYZYYB-CU3,3/30/2015,1,17.8,0
SYZYYB-CU3,10/26/2015,0,12.53,0
SYZYYB-CU3,11/30/2015,0,0,0
SYZYYB-CU3,6/6/2016,0,0,0
MYZ-CU9CU4,12/4/2014,1,47.6,0
MYZ-CU9CU4,12/6/2014,1,35.6,0
MYZ-CU9CU4,1/12/2015,0,36.78,0
MYZ-CU9CU4,1/21/2015,1,47.6,0
MYZ-CU9CU4,1/30/2015,1,47.6,0
MYZ-CU9CU4,2/9/2015,0,7.22,0
MYZ-CU9CU4,6/16/2015,1,47.6,0
MYZ-CU9CU4,6/17/2015,0,41.47,0
MYZ-CU9CU4,7/4/2015,1,47.6,0
MYZ-CU9CU4,7/20/2015,0,42.5,0
MYZ-CU9CU4,7/23/2015,0,39.98,0
MYZ-CU9CU4,10/30/2015,1,47.6,0
MYZ-CU9CU4,12/18/2015,0,44.11,0
MYZ-CU9CU4,9/9/2016,0,0,0
MYZ-CU9CU4,10/2/2016,0,27.4,0
MYZ-CU9CU4,11/18/2016,0,22.8,0
MYZ-CU9CU1,1/15/2015,0,9.1,0
MYZ-CU9CU1,3/2/2015,0,33.18,0
MYZ-CU9CU1,7/14/2015,0,14.98,0
MYZ-CU9CU1,9/12/2015,0,0,0
MYZ-CU9CU1,11/18/2016,0,0,0
MYZ-CU9,2/4/2015,0,4.4,0
MYZ-CU9,2/16/2015,0,0,0
MYZ-CU9,6/8/2015,0,0,0
MYZ-CU9,6/10/2015,0,2.86,0
MYZ-CU9,6/11/2015,1,17.8,0
MYZ-CU9,6/16/2015,0,14.81,0
MYZ-CU9,6/18/2015,0,15.55,0
MYZ-CU9,7/9/2015,0,13.98,0
MYZ-CU9,7/11/2015,0,1.91,0
MYZ-CU9,6/7/2016,0,13.65,0
MYZ-CU8CU8,7/31/2015,0,3.02,0
MYZ-CU8CU8,9/9/2015,0,0,0
MYZ-CU8CU8,9/12/2015,0,0,0
MYZ-CU8CU8,9/19/2015,0,0.58,0
MYZ-CU8CU8,7/5/2016,0,7.6,0
MYZ-CU8CU8,7/6/2016,0,9,0
MYZ-CU8CU8,7/12/2016,0,9.2,0
MYZ-CU8CU8,9/7/2016,0,8.8,0
MYZ-CU8CU8,9/26/2016,0,10.7,0
MYZ-CU8CU6,3/17/2015,1,17.8,0
MYZ-CU8CU6,6/10/2015,0,0,0
MYZ-CU8CU6,8/26/2016,0,7.7,0
MYZ-CU8CU6,11/18/2016,0,0,0
MYZ-CU8CU5,12/6/2014,0,0,0
MYZ-CU8CU5,3/7/2015,1,41.6,0
MYZ-CU8CU5,6/22/2015,1,41.6,0
MYZ-CU8CU5,7/14/2015,0,34.78,0
MYZ-CU8CU5,7/22/2015,0,38.85,0
MYZ-CU8CU5,7/23/2015,0,39.77,0
MYZ-CU8CU5,11/6/2015,0,11.55,0
MYZ-CU8CU5,7/11/2016,0,39.4,0
MYZ-CU8CU5,7/26/2016,0,38.55,0
MYZ-CU8CU5,8/1/2016,1,47.6,0
MYZ-CU8CU5,8/27/2016,0,29,0
MYZ-CU8CU5,9/7/2016,0,33.5,0
MYZ-CU8CU5,9/8/2016,0,37.3,0
MYZ-CU8CU1,6/15/2015,0,0,0
MYZ-CU8CU1,10/3/2015,1,41.6,0
MYZ-CU8CU1,10/5/2015,1,41.6,0
MYZ-CU8CU1,12/10/2015,0,38.5,0
MYZ-CU8CU1,12/11/2015,1,41.6,0
MYZ-CU8CU1,8/26/2016,0,18,0
MYZ-CU8CU1,8/27/2016,0,31.4,0
MYZ-CU8CU1,10/22/2016,0,27.8,0
MYZ-CU8CU0,1/6/2015,1,23.8,0
MYZ-CU8CU0,3/10/2015,0,14.44,0
MYZ-CU8CU0,6/10/2015,0,17.04,0
MYZ-CU8CU0,6/17/2015,0,18.52,0
MYZ-CU8CU0,7/3/2015,0,19.53,0
MYZ-CU8CU0,7/7/2015,0,18.68,0
MYZ-CU8CU0,7/10/2015,0,13.28,0
MYZ-CU8CU0,7/24/2015,0,13.49,0
MYZ-CU8CU0,7/27/2015,0,16.37,0
MYZ-CU8CU0,8/4/2015,0,9.43,0
MYZ-CU8CU0,8/7/2015,0,19.57,0
MYZ-CU8CU0,9/12/2015,0,0,0
MYZ-CU8CU0,9/26/2015,0,11.61,0
MYZ-CU8CU0,12/11/2015,1,23.8,0
MYZ-CU8CU0,1/8/2016,0,19.59,0
MYZ-CU8CU0,1/29/2016,0,19.21,0
MYZ-CU8CU0,2/22/2016,0,17.98,0
MYZ-CU8CU0,7/8/2016,1,23.8,0
MYZ-CU8CU0,7/15/2016,0,7.7,0
MYZ-CU8CU0,7/19/2016,0,9.2,0
MYZ-CU8CU0,7/29/2016,0,16.3,0
MYZ-CU8CU0,8/5/2016,1,23.8,0
MYZ-CU8CU0,8/9/2016,1,23.8,0
MYZ-CU8CU0,8/12/2016,1,23.8,0
MYZ-CU8CU0,11/18/2016,1,7.2,0
MYZ-CU7CU4,1/2/2015,1,17.8,0
MYZ-CU7CU4,1/12/2015,0,7.68,0
MYZ-CU7CU4,3/4/2016,1,17.8,0
MYZ-CU6CU6,12/9/2014,0,16.2,0
MYZ-CU6CU6,12/15/2014,1,23.8,0
MYZ-CU6CU6,12/16/2014,1,23.8,0
MYZ-CU6CU6,1/13/2015,0,8.12,0
MYZ-CU6CU6,1/20/2015,0,0,0
MYZ-CU6CU6,3/13/2015,1,23.8,0
MYZ-CU6CU6,3/14/2015,1,23.8,0
MYZ-CU6CU6,6/20/2015,0,20.22,0
MYZ-CU6CU6,6/29/2015,0,18.03,0
MYZ-CU6CU6,7/1/2015,0,18.32,0
MYZ-CU6CU6,7/29/2015,0,0,0
MYZ-CU6CU6,9/4/2015,0,2.65,0
MYZ-CU6CU6,7/19/2016,0,0,0
MYZ-CU6CU6,8/13/2016,0,9.1,0
MYZ-CU6CU6,8/26/2016,0,0,0
MYZ-CU6CU4,12/10/2014,0,0,0
MYZ-CU6CU4,6/19/2015,1,41.6,0
MYZ-CU6CU4,7/4/2015,0,37.3,0
MYZ-CU6CU4,7/10/2015,0,17.37,0
MYZ-CU6CU4,9/3/2015,0,0,0
MYZ-CU6CU4,11/30/2015,0,0.8,0
MYZ-CU6CU4,4/21/2016,0,24.58,0
MYZ-CU6CU3,12/4/2014,0,34.62,0
MYZ-CU6CU3,12/6/2014,0,7.66,0
MYZ-CU6CU3,12/9/2014,1,41.6,0
MYZ-CU6CU3,12/16/2014,1,41.6,0
MYZ-CU6CU3,12/19/2014,1,41.6,0
MYZ-CU6CU3,12/23/2014,1,41.6,0
MYZ-CU6CU3,12/29/2014,0,34.31,0
MYZ-CU6CU3,12/30/2014,1,41.6,0
MYZ-CU6CU3,1/13/2015,0,23.39,0
MYZ-CU6CU3,1/15/2015,1,17.8,0
MYZ-CU6CU3,7/14/2015,0,35.18,0
MYZ-CU6CU3,10/15/2015,0,38.37,0
MYZ-CU6CU3,10/28/2015,0,36.75,0
MYZ-CU6CU3,10/30/2015,1,31,0
MYZ-CU6CU3,11/6/2015,0,11.98,0
MYZ-CU6CU3,12/15/2015,0,7.4,0
MYZ-CU6CU3,6/17/2016,0,35.1,0
MYZ-CU6CU3,8/3/2016,0,34.5,0
MYZ-CU6CU3,8/8/2016,0,21.8,0
MYZ-CU6CU2,1/2/2015,1,41.6,0
MYZ-CU6CU2,7/23/2015,0,35.78,0
MYZ-CU6CU2,7/27/2015,0,27.6,0
MYZ-CU6CU2,10/13/2015,0,0,0
MYZ-CU6CU2,3/18/2016,0,34.79,0
MYZ-CU6CU2,4/2/2016,1,41.6,0
MYZ-CU6CU2,7/7/2016,0,13.2,0
MYZ-CU6CU2,7/12/2016,0,5.2,0
MYZ-CU6CU2,7/15/2016,0,1.2,0
MYZ-CU6CU2,9/7/2016,0,31.4,0
MYZ-CU6CU2,10/2/2016,0,8.7,0
MYZ-CU5CU8,1/13/2015,0,24.35,0
MYZ-CU5CU8,7/10/2015,0,36.18,0
MYZ-CU5CU8,7/14/2015,0,35.71,0
MYZ-CU5CU8,7/24/2015,0,24.11,0
MYZ-CU5CU8,7/25/2015,0,37.08,0
MYZ-CU5CU8,8/5/2015,0,22.48,0
MYZ-CU5CU8,8/19/2015,0,24.18,0
MYZ-CU5CU8,8/22/2015,0,36.27,0
MYZ-CU5CU8,9/1/2015,0,23.52,0
MYZ-CU4CU6,2/23/2015,1,23.8,0
MYZ-CU4CU6,6/10/2015,0,3.79,0
MYZ-CU4CU6,6/12/2015,0,0.52,0
MYZ-CU4CU6,6/20/2015,0,20.05,0
MYZ-CU4CU6,7/24/2015,0,12.28,0
MYZ-CU4CU6,7/27/2015,0,1.24,0
MYZ-CU4CU6,7/31/2015,1,7.2,0
MYZ-CU4CU6,8/3/2015,0,2.65,0
MYZ-CU4CU6,8/4/2015,0,10.47,0
MYZ-CU4CU6,8/5/2015,0,9.37,0
MYZ-CU4CU6,8/11/2015,0,12.45,0
MYZ-CU4CU6,8/22/2015,0,15.28,0
MYZ-CU4CU6,4/14/2016,0,0,0
MYZ-CU4CU6,6/6/2016,0,0,0
MYZ-CU4CU6,7/7/2016,0,0,0
MYZ-CU4CU6,7/25/2016,0,0,0
MYZ-CU4CU6,7/26/2016,0,8.2,0
MYZ-CU4CU6,8/10/2016,0,0,0
MYZ-CU4CU6,8/11/2016,0,8.45,0
MYZ-CU4CU6,9/12/2016,0,10.3,0
MYZ-CU4CU6,10/3/2016,0,9.7,0
MYZ-CU4CU6,11/18/2016,0,0,0
MYZ-CU4CU6,11/19/2016,0,0,0
MYZ-CU4CU5,1/15/2015,0,9.2,0
MYZ-CU4CU5,2/16/2015,0,17.38,0
MYZ-CU4CU5,9/26/2015,0,36.91,0
MYZ-CU4CU1,2/19/2015,1,23.8,0
MYZ-CU4CU1,2/24/2015,0,20.5,0
MYZ-CU4CU1,6/11/2015,1,23.8,0
MYZ-CU4CU1,7/29/2015,0,0,0
MYZ-CU4CU1,6/10/2016,0,9.55,0
MYZ-CU3CU5,6/23/2015,1,41.6,0
MYZ-CU3CU5,7/30/2015,0,14.65,0
MYZ-CU3CU5,9/29/2015,0,31.91,0
MYZ-CU3CU5,3/9/2016,0,36.29,0
MYZ-CU3CU5,7/6/2016,0,11.5,0
MYZ-CU3CU5,9/23/2016,0,9.3,0
MYZ-CU3CU5,10/17/2016,0,33.2,0
MYZ-CU3CU3,9/18/2015,0,9.24,0
MYZ-CU3CU3,12/14/2015,0,21.76,0
MYZ-CU3CU3,7/13/2016,0,9.6,0
MYZ-CU3CU3,7/15/2016,0,10.5,0
MYZ-CU3CU3,7/19/2016,0,16.4,0
MYZ-CU3CU2,12/3/2014,0,32.22,0
MYZ-CU3CU2,12/30/2014,1,48.8,0
MYZ-CU3CU2,1/29/2015,0,33.12,0
MYZ-CU3CU2,2/27/2015,1,41.6,0
MYZ-CU3CU2,3/31/2015,0,15.89,0
MYZ-CU3CU2,7/10/2015,0,19.28,0
MYZ-CU3CU2,9/18/2015,0,0,0
MYZ-CU3CU2,4/23/2016,0,0,0
MYZ-CU3CU2,7/2/2016,1,31,0
MYZ-CU3CU2,7/4/2016,0,18.7,0
MYZ-CU3CU2,7/5/2016,0,18.2,0
MYZ-CU3CU2,7/22/2016,1,31,0
MYZ-CU3CU2,8/26/2016,0,7.7,0
MYZ-CU3CU2,10/7/2016,0,18,0
MYZ-CU3CU2,10/17/2016,0,15.7,0
MYZ-CU3CU2,10/25/2016,0,2.05,0
MYZ-CU3CU2,11/18/2016,0,0,0
MYZ-CU3CU2,11/19/2016,0,0,0
MYZ-CU3CU2,11/21/2016,0,10.3,0
MYZ-CU3CU1,12/6/2014,0,21.49,0
MYZ-CU3CU1,12/19/2014,1,71.4,0
MYZ-CU3CU1,12/24/2014,0,42.25,0
MYZ-CU3CU1,1/5/2015,0,38.57,0
MYZ-CU3CU1,1/15/2015,0,0.08,0
MYZ-CU3CU1,2/20/2015,1,71.4,0
MYZ-CU3CU1,6/11/2015,1,23.8,0
MYZ-CU3CU1,6/12/2015,1,41.6,0
MYZ-CU3CU1,6/23/2015,0,63.23,0
MYZ-CU3CU1,9/11/2015,1,47.6,0
MYZ-CU3CU1,10/27/2015,0,42.23,0
MYZ-CU3CU1,2/5/2016,0,42.62,0
MYZ-CU3CU1,4/14/2016,0,13.55,0
MYZ-CU3CU1,4/18/2016,0,21.5,0
MYZ-CU3CU1,7/19/2016,0,36.4,0
MYZ-CU2CU9,3/3/2015,0,34.8,0
MYZ-CU2CU9,3/4/2015,0,47.3,0
MYZ-CU2CU9,6/8/2015,0,29.08,0
MYZ-CU2CU9,6/9/2015,0,19.77,0
MYZ-CU2CU9,6/12/2015,1,47.6,0
MYZ-CU2CU9,6/25/2015,0,31.71,0
MYZ-CU2CU9,9/1/2015,0,37.87,0
MYZ-CU2CU9,2/29/2016,0,57.78,0
MYZ-CU2CU9,3/28/2016,0,31.32,0
MYZ-CU2CU9,7/25/2016,0,21.45,0
MYZ-CU2CU4,1/13/2015,0,22.44,0
MYZ-CU2CU4,6/12/2015,1,41.6,0
MYZ-CU2CU4,9/7/2015,0,41.33,0
MYZ-CU2CU4,9/18/2015,1,47.6,0
MYZ-CU2CU4,9/24/2015,0,37.35,0
MYZ-CU2CU4,2/22/2016,0,0,0
MYZ-CU2CU4,3/3/2016,0,36.88,0
MYZ-CU2CU4,3/4/2016,0,37.95,0
MYZ-CU2CU4,6/9/2016,0,12.5,0
MYZ-CU2CU4,6/21/2016,0,30.8,0
MYZ-CU2CU4,6/24/2016,0,37.1,0
MYZ-CU2CU4,6/25/2016,0,42.4,0
MYZ-CU2CU4,6/27/2016,0,40.1,0
MYZ-CU2CU4,6/28/2016,0,39,0
MYZ-CU2CU4,6/29/2016,0,43.1,0
MYZ-CU2CU4,7/2/2016,1,41.6,0
MYZ-CU2CU4,7/8/2016,1,41.6,0
MYZ-CU2CU4,8/26/2016,0,18.3,0
MYZ-CU2CU4,8/27/2016,0,18.2,0
MYZ-CU2CU4,9/9/2016,0,0,0
MYZ-CU2CU4,10/2/2016,0,0,0
MYZ-CU2CU4,10/22/2016,0,27.5,0
MYZ-CU2CU4,10/24/2016,0,16.7,0
MYZ-CU2CU4,11/18/2016,0,5.7,0
MYZ-CU2CU4,11/19/2016,0,3.6,0
MYZ-CU2CU1,12/6/2014,0,15.25,0
MYZ-CU2CU1,6/26/2015,0,30.23,0
MYZ-CU2CU1,12/4/2015,0,30.35,0
MYZ-CU2CU0,6/20/2015,0,66.22,0
MYZ-CU2CU0,8/20/2015,0,62.2,0
MYZ-CU2CU0,12/4/2015,0,41.28,0
MYZ-CU2CU0,7/19/2016,0,43,0
MYZ-CU2,12/6/2014,0,3.62,0
MYZ-CU2,1/15/2015,1,17.8,0
MYZ-CU2,7/29/2015,0,0,0
MYZ-CU2,11/2/2015,0,2.58,0
MYZ-CU2,7/2/2016,1,23.8,0
MYZ-CU2,10/21/2016,0,9.7,0
MYZ-CU1CU9,12/24/2014,0,20.35,0
MYZ-CU1CU9,3/2/2015,0,24.92,0
MYZ-CU1CU9,3/3/2015,0,24.28,0
MYZ-CU1CU9,3/7/2015,0,20.02,0
MYZ-CU1CU9,3/10/2015,0,29.14,0
MYZ-CU1CU9,3/13/2015,0,31.84,0
MYZ-CU1CU9,7/11/2015,0,16.87,0
MYZ-CU1CU9,8/10/2015,1,53.4,0
MYZ-CU1CU9,8/11/2015,0,24.59,0
MYZ-CU1CU9,8/19/2015,0,31.12,0
MYZ-CU1CU9,10/20/2015,0,0,0
MYZ-CU1CU9,3/26/2016,0,11.5,0
MYZ-CU1CU9,3/29/2016,0,26.47,0
MYZ-CU1CU9,6/23/2016,0,19.3,0
MYZ-CU1CU9,10/2/2016,0,20.8,0
MYZ-CU1CU9,11/18/2016,0,0,0
MYZ-CU1CU9,11/19/2016,0,2.5,0
MYZ-CU1CU3,12/8/2014,0,33.02,0
MYZ-CU1CU3,12/26/2014,1,41.6,0
MYZ-CU1CU3,1/2/2015,1,41.6,0
MYZ-CU1CU3,2/20/2015,0,26.41,0
MYZ-CU1CU3,2/27/2015,1,41.6,0
MYZ-CU1CU3,3/3/2015,1,41.6,0
MYZ-CU1CU3,3/17/2015,0,31.49,0
MYZ-CU1CU3,3/18/2015,1,41.6,0
MYZ-CU1CU3,3/24/2015,0,31.53,0
MYZ-CU1CU3,3/25/2015,1,41.6,0
MYZ-CU1CU3,3/30/2015,0,25.38,0
MYZ-CU1CU3,6/19/2015,1,41.6,0
MYZ-CU1CU3,6/25/2015,0,0,0
MYZ-CU1CU3,6/29/2015,1,41.6,0
MYZ-CU1CU3,12/2/2015,0,11.43,0
MYZ-CU1CU3,8/12/2016,0,7.75,0
MYZ-CU1CU3,11/23/2016,0,15.7,0
MYZ-CU1CU2,12/9/2014,0,6.66,0
MYZ-CU1CU2,3/3/2015,1,17.8,0
MYZ-CU1CU2,12/1/2015,0,2.02,0
MYZ-CU1CU1CU2,12/19/2014,1,23.8,0
MYZ-CU1CU1CU2,1/20/2015,0,7.66,0
MYZ-CU1CU1CU2,1/27/2015,0,0,0
MYZ-CU1CU1CU2,2/7/2015,0,6.14,0
MYZ-CU1CU1CU2,2/21/2015,0,14.95,0
MYZ-CU1CU1CU2,2/26/2015,0,13.48,0
MYZ-CU1CU1CU2,3/26/2015,0,12.76,0
MYZ-CU1CU1CU2,12/8/2015,0,16.53,0
MYZ-CU1CU1CU2,12/14/2015,0,20.05,0
MYZ-CU1CU1CU2,7/19/2016,0,0,0
MYZ-CU1CU1CU2,11/18/2016,0,0,0
MYZ-CU1CU1,1/27/2015,0,0.74,0
MYZ-CU1CU1,3/31/2015,0,0,0
MYZ-CU1CU1,6/16/2015,1,17.8,0
MYZ-CU1CU1,6/30/2015,0,13.74,0
MYZ-CU1CU1,9/12/2015,0,0,0
MYZ-CU1CU1,1/27/2016,0,9.6,0
MYZ-CU1CU1,4/23/2016,0,0,0
MYZ-CU1CU1,6/6/2016,0,0,0
MYZ-CU1CU1,8/8/2016,0,1.65,0
MYZ-CU1CU0CU5,1/10/2015,0,0,0
MYZ-CU1CU0CU5,1/16/2015,0,17.15,0
MYZ-CU1CU0CU5,2/18/2015,0,31.04,0
MYZ-CU1CU0CU5,2/20/2015,0,32.7,0
MYZ-CU1CU0CU5,2/24/2015,0,24.95,0
MYZ-CU1CU0CU5,3/13/2015,0,14.18,0
MYZ-CU1CU0CU5,3/27/2015,0,20.62,0
MYZ-CU1CU0CU5,6/15/2015,0,1.95,0
MYZ-CU1CU0CU5,9/22/2015,0,13.35,0
MYZ-CU1CU0CU5,10/19/2015,0,20.68,0
MYZ-CU1CU0CU5,10/26/2015,0,31.26,0
MYZ-CU1CU0CU5,3/18/2016,0,31.95,0
MYZ-CU1CU0CU5,3/19/2016,0,27.27,0
MYZ-CU1CU0CU5,7/2/2016,1,35.6,0
MYZ-CU1CU0CU5,7/11/2016,0,27,0
MYZ-CU1CU0CU5,7/18/2016,0,28,0
MYZ-CU1CU0CU5,7/19/2016,0,13.2,0
MYZ-CU1CU0CU5,7/22/2016,0,29.3,0
MYZ-CU1CU0CU5,7/27/2016,1,35.6,0
MYZ-CU1CU0CU5,8/11/2016,0,26.7,0
MYZ-CU1CU0CU5,8/26/2016,0,12.5,0
MYZ-CU1CU0CU5,11/18/2016,0,0,0
MYZ-CU1CU0CU5,11/19/2016,0,0,0
MYZ-CU1CU0CU3,1/20/2015,0,0,0
MYZ-CU1CU0CU3,1/13/2016,0,15.76,0
MYZ-CU1CU0CU1,1/13/2015,0,1.62,0
MYZ-CU1CU0CU1,3/11/2015,0,0,0
MYZ-CU1CU0CU1,3/25/2015,0,0,0
MYZ-CU1CU0CU1,10/12/2015,0,0,0
MYZ-CU1CU0CU1,2/8/2016,0,0,0
MYZ-CU1CU0CU1,8/26/2016,0,0,0
MYZ-CU1CU0CU1,10/3/2016,0,0,0
MYZ-CU1CU0,1/29/2015,0,0,0
MYZ-CU1CU0,1/13/2016,0,12.47,0
MYZ-CU1CU0,1/29/2016,1,7.2,0
MYZ-CU1CU0,3/18/2016,0,12.06,0
MYZ-CU1CU0,6/18/2016,0,12.65,0
MYZ-CU1CU0,7/19/2016,0,0,0
MYZ-CU1CU0,8/20/2016,0,3,0
KYZ-CU9CU9,7/23/2015,0,35.7,0
KYZ-CU9CU9,8/11/2015,0,29.85,0
KYZ-CU9CU9,6/24/2016,0,40.3,0
KYZ-CU9CU9,6/28/2016,0,36.5,0
KYZ-CU9CU8,1/6/2015,1,17.8,0
KYZ-CU9CU8,1/21/2015,0,9.4,0
KYZ-CU9CU8,1/24/2015,1,17.8,0
KYZ-CU9CU8,2/11/2015,0,13,0
KYZ-CU9CU8,7/24/2015,0,11.01,0
KYZ-CU9CU8,9/29/2015,0,13.91,0
KYZ-CU9CU8,1/1/2016,0,11.55,0
KYZ-CU9CU8,3/14/2016,1,17.8,0
KYZ-CU9CU4,7/29/2015,0,0,0
KYZ-CU9CU4,8/11/2015,0,29.15,0
KYZ-CU9CU4,8/17/2015,0,28.88,0
KYZ-CU9CU0,12/6/2014,0,0,0
KYZ-CU9CU0,3/12/2015,0,0,0
KYZ-CU9CU0,9/26/2015,0,32.46,0
KYZ-CU9CU0,3/29/2016,0,18.85,0
KYZ-CU9CU0,6/7/2016,0,19.4,0
KYZ-CU9CU0,10/2/2016,0,13.3,0
KYZ-CU9,12/23/2014,1,65.4,0
KYZ-CU9,7/8/2015,0,44.88,0
KYZ-CU9,7/27/2015,0,49.84,0
KYZ-CU9,8/5/2015,0,54.79,0
KYZ-CU9,8/19/2015,0,57.19,0
KYZ-CU9,9/4/2015,0,42.9,0
KYZ-CU9,12/10/2015,0,58.85,0
KYZ-CU9,12/29/2015,0,61.15,0
KYZ-CU9,1/2/2016,0,56.35,0
KYZ-CU9,3/5/2016,0,57.87,0
KYZ-CU9,3/14/2016,0,58.56,0
KYZ-CU9,6/24/2016,0,67.7,0
KYZ-CU9,6/27/2016,0,67.7,0
KYZ-CU9,8/13/2016,0,35.8,0
KYZ-CU9,8/26/2016,0,18.5,0
KYZ-CU9,9/1/2016,0,32.3,0
KYZ-CU9,10/2/2016,0,19.4,0
KYZ-CU8CU9,2/4/2015,1,47.6,0
KYZ-CU8CU9,3/10/2015,0,38.61,0
KYZ-CU8CU9,8/24/2015,0,25.86,0
KYZ-CU8CU9,8/26/2016,0,17,0
KYZ-CU8CU9,10/18/2016,0,19.45,0
KYZ-CU8CU9,11/18/2016,0,11.3,0
KYZ-CU8CU8,12/19/2014,1,47.6,0
KYZ-CU8CU8,7/14/2015,0,36.22,0
KYZ-CU8CU8,8/5/2015,0,36.85,0
KYZ-CU8CU8,8/10/2015,0,33.18,0
KYZ-CU8CU8,8/11/2015,0,31.18,0
KYZ-CU8CU8,8/19/2015,0,34.92,0
KYZ-CU8CU8,11/18/2016,0,0.2,0
KYZ-CU8CU5,12/6/2014,0,29.99,0
KYZ-CU8CU5,1/16/2015,0,23.48,0
KYZ-CU8CU5,1/20/2015,0,30.56,0
KYZ-CU8CU5,1/29/2015,0,45.92,0
KYZ-CU8CU5,1/30/2015,0,50.1,0
KYZ-CU8CU5,2/6/2015,1,65.4,0
KYZ-CU8CU5,2/7/2015,0,37.94,0
KYZ-CU8CU5,2/9/2015,0,27.56,0
KYZ-CU8CU5,2/23/2015,0,31.9,0
KYZ-CU8CU5,2/24/2015,0,34.94,0
KYZ-CU8CU5,3/7/2015,0,36.71,0
