score,date,title,review,link_id,Name,Location,City
50,3-Jun-19,A perfect place for indulgence,"The Asian , Chinese , Thai , Korean cuisine served here is of the best quality in terms of taste, hygiene & serve size. It's a perfect place for families, college goers, corporates & a hangout with friends. China Bistro instantly attracts your eye through its amazing ambiance. The place is quite affordable, as compared to the quality it serves which is another reason for its popularity. The ZOMATO 1+1 makes it more clientele friendly...",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,25-Mar-19,Good Food and value for money.,Place is located in Dadar with good approach. The food is very good. The place is value for money. All in all good place.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,25-Feb-19,Taste at its best,Had great time eating here. Food quality was excellent. Their menu has wide options for vegetarians and non vegetarian food. Service was quick.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
10,12-Dec-18,Most over-rated Chinese food is Mumbai,"Very average food. Don't know how to make Chinese food. The quality of food,presentation, service and value for money - this place disappoints you on all counts. There is nothing good I can talk about.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
10,9-Dec-18,Horrible food n stale unhygienic,WATCH OUT n be careful when u orderWe had ordered laksa soup in which there was no flavour of galangal n the mushrooms were rotted . The clear soup also had mushrooms so we complained n they changed but still the mushrooms were the sameLotus stem that we ordered were v thickly sliced so when fried it was under cooked. The asparagus tempura was v dry as if it was few days old. The green tea tiramisu had no flavour of green tea rather it was quite dry n more like Phirni an Indian dessert . Even if u’ve eatigo offer plz think twice coz yur priority is yur health which is yur wealth,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,6-Nov-18,Excellent,The place is so beautiful and the staff is amazingly warm and welcoming. The food is delicious but moreover I loved and enjoyed the hospitality!,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,25-Oct-18,Value for Money,"A fair lunch buffet with a good spread of veg and non veg starters ( including dim sum and soup ),and main course . Welcome soft drink choices . Not much on the dessert counter and the good tends to be a bit bland, but overall value for money .",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,20-Sep-18,Worth your money,"Non veg buffet worth the moneyLot of variety packed in the price, each dish full of flavours ,no disappointment except for the soup which was a bit bland1) Chicken 8 treasure soup was a bit bland to the buds2) Starters - chicken basil sui mai ,fish fresh chilly coriander, fried chicken wanton ,chicken wings Sichuan style .Each starter was good, tenderly cooked3) Main Course - Prawns in xo sauce ,general taos favourite chicken ,fish fillet in parsley sauce,Whole crab in devils sauce ,shredded chicken home styleAll the dishes went great with the rice and noodles ,the prawns in xo sauce stood out4)Vegetable butter garlic noodle ,mix vegetable fried rice ,were a good side kick to the main dishes5) 3 different ice creams (chocolate, strawberry, vanilla) ,caramel custard ,slice cakes ,fresh fruits ,honey flat noodles6)Also soft drinks ,iced tea and lime juiceAll in all a decent bite for the buckThe food was nice with great flavours ,not too heavy, service was quick ,staff were polite ,the place is quite spaciousA nice place to treat large groups and not too heavy on the pocket if you refrain from the liquor",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
30,18-Sep-18,Average !!,"Went for their buffet. Starters and soup served at the table. Served chicken dim sums , chicken wings, fish and potato. Fish was good. Rest was okayish. Main course spread was decent but taste was again average. Not a great outing. Easy on the pocket though. So a good experience I would say",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,8-Sep-18,Authentic pan-asian cuisine,"*************** China Bistro*************A perfect set up for a perfect buffet.China Bistro, one of the top notch restaurants located in worli. They have four outlets in Mumbai Dadar Shivaji park, Vasant Vihar Thane, Chembur and Worli.They specialise in authentic pan-asian cuisine.Happened to visit this place with my girlfriend on a Teacher's day, post successful US visa interview at BKC. Surprised to see this place fully packed and few were waiting outside, luckily we had the reservation, so didn't have any issues.Ambience:This place is nicely lit with colourful dishes adorning walls, excellent decor, tables were well set including spoons and forks, very spacious seating area, which was divided into multiple sections. Could easily accommodate 50-70people.Valet parking available for cars.Staff:Courteous and knowledgeable staff, they suggested us few moctails and starters which were really nice.What we were servedMoctails:Mandarin basil caipiroska.Virgin mojitho.Blue heart.Perfect drinks to beat the heat, moctails were lovely punchy and super refreshing.Starter :Chicken chilli 5/5Chicken suimui 5/5Barbeque patato 5/4Fried chicken wonton 5/5Veg wonton 5/4Veg crispy. 5/4Starters were the highlights of the buffet, everything we tried was super delicious.Main :Mud crab in hot oil 5/5Sliced chicken in chilli sauce.5/5Prawns in green garlic sauce.5/5Exotic veggie in hot garlic sauce 5/4Veg dumplings in soya sauce. 5/4Corn and patato in hot bean sauce.5/5Fish in parsley sauce. 5/5Green tao's fevorite chicken 5/4Veg fried rice and burnt garlic noodles.5/5Overall we had a wonderful time at China bistro,worliLoved the whole experience, would surely recommend this place to friends.**** Must visit for chinese cuisine enthusiasts *****",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or10-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
30,28-Aug-18,Pan Asian Buffet lunch,"Located in Worli there is valet parking available. The buffet lunch is satiating with a variety of dim sums and apetizers to fill you up that there is no place for the mains. Not authentic food but more for the spicy Indian palate the highlights are the nibbles,apetizers baos and dim sums . Soups just enough for one cannot be shared.The alcoholic beverages are interesting but a little expensive while the food is moderately priced especially the buffet. Go for the buffet for a satiating experience",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
20,7-Aug-18,Very ordinary in totality,It's centrally located . That's about it . Lacks quality in terms of service food and embiance . Waste of a meal,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,7-Aug-18,China Bistro,"We went for the lunch buffet. The soup and starters were served at the table. While the time we ate our starters I was feeling full. Beer, fresh lime water or soft drink was also complimentary. The food and the service were very good.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,25-Jul-18,Authentic chinese food,"With the Chinese New Year on 16th February, China Bistro has kept a food festival in that honor from 12th February to 3rd March 2018. I happened to try this and hence would like you guys to know about it too. They have a set menu for this day which has soups, salads, dimsums, Bao’s, Grilled items and also mains like pot rice.Location and proximity from Station:There are 4 outlets in Bombay. We happened to visit the one in Dadar west. It is a 15 minute walk from Dadar station or a 5-10 minute cab ride depending on the traffic.Ambiance and seating:The ambiance is of the basic fine dine place. It’s really good and you can focus on your company and food both easily. There’s ample of space and they can seat over 50 people easily. No issues of space congestion also.Food and Drinks:We started off with few mock-tails and cocktails.Insane Russian (restaurant menu)- The basic vodka + Kahlua mixture on the rocks. I am not a vodka fan but this mixture definitely changes my mind. There was a strong sweetish taste to it. Please do try thisApple basil martini (restaurant menu) - The staff suggested this as it works out well for most of their customers. Sure enough it worked out well for us too. The only negative here is that the basil was strong and overpowered the entire drink. Any way we did like it.Peach iced tea (restaurant menu) - We tried an iced tea and the flavor was very good. Did pack a punch and if you are a fan of the iced teas do try either this or the lemon iced tea.Porto Red Sangria (restaurant menu) - They have the Sonora, Blonde and the Porto sangria. I’m a fan of the red wine and hence tried the Porto. It’s quite decent and not much on the sweeter side.Truffle scented mushroom tea - We then began with the appetizers. The first to walk in was the soup. The shiitake mushrooms really go well and there’s a punch of flavor and spice in it. Definitely begin with this in your meal.Steamed chicken and spinach dumpling - The best part about this is that it’s not your average dough covering for the dim sum. It’s of spinach leaves. And yes, the result is fantastic. The meat and spinach go so well along with the chilli bean sauce.Three lung har gaurav with tobiko (prawns) - It’s quite rare to have dumplings in BLACK color. This is made up of squid ink and rice flour. I am not a fan of prawns but my mother loved it. It’s accompanied with red thai curry and the taste is decent.Urumqi lamb bao pocket - Here the bao pockets have carrots, cucumber, hummus and spinach along with the meat which is the lamb. You might feel this is dry and hence can have the red thai curry sauce. We found the taste decent and this could have been a bit better.Fire roasted mandarin chicken (restaurant menu)- This one’s not present in the new year menu but you must try this anyway. The chicken is seasoned with spices and is deep fried on skewers and is served on a mini charcoal grill. The taste here is really good and has the spice to keep you wanting more. Kudos to the staff for suggesting this.Hot Pot chicken rice - I like the concept of the pot rice. The sauce, the rice , the veggies and the meat mixed in good proportion to suit the taste for all. Here too was the same case. The taste was good and it’s not spicy. Also, it’s a lot of quantity and that’s good too.Desserts:Green Tea Tiramisu - One of the best desserts I’ve dared to try. I like my green tea and also my tiramisu. But the thought of the mixture gave me the jitters. Thankfully the staff there convinced me that it’s really good and many have liked it. Fortunately for them I really loved it. This is fantastic. None of them overpower each other. The mixture will give you a balanced taste of both.Conclusion:Overall, the chinese new year menu is reasonable as per what I had. The appetizers range between 300-450 and the mains are from 450 - 600. The cocktails and mocktails are not present in the new years menu and is present in the restaurant menu.A special mention to the staff who are always on their toes to help and will also give you good suggestions. They made us try a dish off the menu and we are fortunate that they helped us understand the good food these guys can serve.I urge you to try this place and head over before the chinese new year menu ends which is on the 3rd of March 2018.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,23-Jul-18,Review of China Bistro Restaurant,Super and delicious food. Extremely tasty and worth the rate for a buffet.Large variety of veg and non-veg.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,20-Jun-18,Authentic continental taste,Superb ambience variety and on top authentic continental taste whereas most other restaurants make Chinese dishes in Indian style..,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,1-Jun-18,"Spacious, tasty and hidden",Not many people know that Chembur (deonar) also has a branch open for these. The menu is quite assorted and reasonably priced. What takes you aback is the space that this restaurant has.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,6-May-18,Worth A Dine,"Beautiful Ambiance, Great Service & top of all, the food is amazing. The restaurant is not cheap in price but it’s definitely value for money. The food is clean, fresh & most importantly it’s super Yummy!",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
30,1-May-18,Mixed experience,Out of many dishes ordered some were good. Sea food is over priced and drinks are rip-off....with no happy hours options either. It certainly has an advantage of private seating areas ( not easy to get in Mumbai).,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,17-Mar-18,Excellent food. 1 star less for slow service.,The food at china bistro is the best chinese I've ever had. The food is reasonable and we were very satisfied. However the service was slower and choice of music in background was not happening. Little more tweaks and this place will be on my favourite restaurants. Go for it.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or20-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,11-Mar-18,Food A+ service not so much,"Let me start of by saying that this visit was for the lunch buffet. Value for the $$$ Outstanding. Rs.700 for a buffet along with a glass of wine which came well after we finished our main course. Initially I booked the lunch through easydining website however by sheer luck when I called to confirm my booking I was initially told that they had not received my booking. Then after around a couple of minutes they located my booking and then they told me that they were fully booked for my time slot and they could not accommodate my booking. I then asked my friend to call in as he is a regular there and sure enough they got him a table for the same time slot that I had previously booked. When we arrived there we were given the table and when I pointed this out to the hostess all I got in return was a ""uh Ok"". China Bistro management your are in the hospitality business you need to really work on your customer service skills. at our table some of the seating assignments were missing cutlery and when we requested the same the same was replenished in a timely manner. That is where the negative stuff ends now coming to the food. In 2 words ""SIMLY MINDBLOWING"". Be it the fish or the chicken or lobsters or crabs each one of them had their own unique flavours and taste. All in all it was not a bad experience but it can certainly be something that can be improved upon. The 4 star rating is for the food and food alone.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,10-Mar-18,Chinese New Year,"I visited China bistro for their Chinese New Year menu.The menu was curated specially for the new year.The start was so aromatic with truffle scented mushroom tea. You can’t miss this. It’s full of flavor and smells delicious.For the starters tried the pickled mustard and chestnut dumpling, steamed chicken and spinach dumpling with chili bean, veg & barbecued chicken bao pockets. The dumplings were steaming hot and flavorsome although found the pocket baos too dry!For the main course tried the hot pot meal which had exotic vegetables in yellow bean sauce mixed with steaming rice. It was perfectly made and steaming hot!Couldn’t try their green tea tiramisu as they were out of it.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,8-Mar-18,Chinese New Year Menu,"4.0 in Fine Dine, Chinese Cuisine ( Mumbai )""Chinese food tries to engage the mind, not just the palate. To provoke the intellect."" -Nicole MonesThe onset of spring brings in the joyous occasion of the Chinese New Year. To celebrate the mirthful spring festival, China Bistro, known for its authentic & contemporary Chinese dishes, has prepared a special menu with some interesting delicacies available at all their outlets. To get a taste of the celebratory menu, we decided to drop by their Dadar outlet with stands tall as a very well-known landmark, taking over an entire corner of a prominent street.Replicas of the Terracotta Army, red paper lanterns & prominent elements of the Chinese culture are found all around the beautifully lit restaurant. As a part of the new year celebrations, China Bistro also has a little table on which they pay their respects to the ingredients they use in the food.FoodTo get your taste buds going while you decide what you want to order, you are served with Kimchi, pickled carrots & cucumber, fragrant chilli sauce & a black pepper sauce.Let us warn you, they are incredibly addictive!Truffle Scented Mushroom Tea ( Rs.145 )When we read the name of the tea, we assumed we were going to get a mellow tea infused with the flavours of Truffle & mushroom… but we were quite mistaken. The tea is like a soup served in a beautiful tall kettle with cute little China Teacups & saucers to accompany it. In the cups, you get thin, sliced & dried shiitake mushrooms on which you pour the piping hot mushroom truffle broth. If you had any doubts that there was any truffle in the tea, the earthy aroma will put them to rest. The soup is light in consistency but packed with flavour. It has a slight pungency owing to the truffles, a rich buttery flavour of the shiitake & a spicy ( hints of sour ) tinge owing to the spices. This is a MUST HAVE.Thai Papaya Salad with Orange Vinaigrette ( Rs.195 )The base of the dish was crunchy Raw Papaya juliennes and along with it were julienned carrots, French beans, Heirloom tomatoes, cherry tomatoes, peanuts, garnished with edible flowers. The salad was dressed in a fresh orange juice ( which we give extra points for )... A Delicious salad!Dumplings or Dim sumsWhat we loved the most about their dumplings, in general, were their innovative wraps that were made with a variety of flavours and ingredients. Instead of just using a mix of rice flour or a basic dumpling dough, they used vegetables such as spinach and flavoured wraps. Commenting on the consistency, the coating would give a pop of flavour and melt in your mouth enabling the filling to be the hero. Every dumpling dish had its own personality, so to speak. Each of them were very different not only in flavour but in presentation & look too. The dumpling platter was decorated with micro greens, edible flowers and a variety of sauces. Certainly, a treat to look at… and devour!Pak Choi & Shiitake Dumpling ( Rs.275 )Green little siu mai dumplings were dressed up with micro greens & fried onions with a filling of soft juicy mushroom & boiled Bok Choy. On top of it, all were drizzled a few drops of parsley mayo. Even though there was a lot going on with the crispy onions, the earthy mushrooms, light mustard flavour from the greens and bok choy… it all blended perfectly.Three Lung Har Gao with Tobiko( Rs.325 )Placed on a bed of Red Thai curry were Black Dumplings… yes black! The dumpling dough is made up of rice flour & squid ink. Now the taste of the coat in no way overpowers the dish but is very very subtle. The dumpling dough is filled with lightly flavoured prawn, bamboo shoots & some water chestnut and is garnished with Microgreens and tiny little tobiko. Tobiko are the tiny pink pearls on top of the dumpling, also known as flying fish roe, which give it a blink & miss salty taste. The dumplings are beautiful to look at and we strongly recommend you try them. Be careful while eating with chopsticks, this dumpling can give you quite the slip !Steam Chicken & Spinach Dumpling with Chilli Bean( Rs.325 )Two green dumplings were placed in a little puddle of Chilli Bean Soya Sauce, garnished with micro-greens. Now, these dumplings weren’t made up of the usual dumpling dough but the coating was, in fact, beautiful, soft spinach leaves. Tucked inside the leaves was succulent, steamed chicken meat. The spinach was very tender and let the taste of the chicken come through while the spicy, umami Chilli bean sauce is fun to dunk in for a change of taste.Bao PocketsBarbecue Chicken ( Rs.395 ) / Urumqi Lamb ( Rs.295 )Who isn’t well versed with the soft-sweet Chinese bread? Our only complaint with them is that just like a burger we managed to drop the filling everywhere. To make sure you get the tasty goodness of every bit of from the filling, they have made bao pockets. We had two varieties of the Bao pockets which were quite similar in taste but different in meat. Garnished with edible flowers, both the meats were minced and deep fried till beautifully crispy and tucked into the pockets along with carrot, cucumber, hummus, spinach & butter. In case you feel the bao is dry, you get a dip alongside ( Red Thai curry sauce with the Urumqi Lamb & BBQ Black Bean sauce with the chicken ) as well as pickled carrots & cucumbers garnished with sesame.The trick to enjoying the Bao Pocket is to push the stuffing a bit inside and press on the bao pocket to slightly flatten it. You will enjoy the delicious filling till the end.Mala Pot Chicken( Rs.545 )One portion will easily fill two people quite a bit. The Mala Pot Chicken meal is served in a pot filled with butter-herb rice doused with gravy. The gravy of the Mala pot consists of soya sauce, five spice mix, dry red chillies in which are tossed boneless pieces of chicken, bamboo shoots, onion & succulent pieces of shiitake mushroom. One thing that really impressed us was that the rice was not over or undercooked. It was moist but not squishy at all..let's leave it at the rice was very well cooked.Green Tea Tiramisu( Rs.295 )Ice cream milk foam, chocolate, scooped watermelon & matcha green tea powder crowned the dessert. The layer of whisked cream was an absolute delight to have, however, coffee-infused cake below was a bit too sweet for our taste.BeveragesPineapple Chili Cooler( Rs.240 )Chilli powder & tobacco sauce added to a base of pineapple juice was what the Pineapple Cooler was all about & we LOVED it ! The juice is not too sweet and the spice skips your tongue only to give you some pleasant spicy notes after you gulp down each sip.Cucumber Wasabi Cooler ( Rs.240 )The Cucumber Wasabi cooler was a concoction of a pulpy & slushy cucumber juice teamed up with wasabi. When you sip your drink, you for a few seconds you will believe the drink is devoid of any wasabi, but we guarantee you the spice will creep up just when you don’t expect it. Let the drink rest & the ice melt for a while of the drink gets a bit tough to sip through a straw.( Please note : the quantities in the images are sample portions served to us on request for the purpose of the review. )We would like to thank Sandeep, Dan Singh Mehta, Anjan, Suraj & Rajesh Thakur for the wonderful time.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
50,20-Feb-18,Excellent quality of Chinese Food in a comfortable ambience !,"This high-end Chinese Food specialist ranks in our best Chinese Restaurants of Mumbai list ! The property is spread over a wide area with multiple seating options, common dining area/s, small rooms and private halls to cater to a wide range of clientele. Quality of the food, preparation, presentation, taste and service are all top notch. Staff employed is courteous, knowledgeable and offer excellent suggestions to patrons. Truly mouth watering Chinese dishes be it appetizers or main course ! The desserts are also bound to put you in sweet heaven ! The pricing is a little higher than mid-range but truly worth every rupee ! Indulge your culinary senses and relish the well prepared dishes by seasoned chefs at this famed restaurant in Mid-Mumbai !",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
30,30-Dec-17,Fair value,"Went for the lunch buffet, let's be straight & frank. For less than rs600($10) you can't demand/ask for more. Decent choices for both veg/non veg and price includes a non alcoholic drink. There are different choices for a quick bite and this is one.",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
30,28-Dec-17,Anniversary Celebration,We have mostly gone to China Bistro for our anniversary dinner. But this time we felt that the quality of service has gone down. The food we ordered were good and the one drink we ordered was very expensive. But there was no response for our anniversary celebration. We used to get a free dessert and a wish from all the waiting staff. But this time none.Well. We have to look at other places for our events.,https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
40,27-Oct-17,A decent place to enjoy Chinese food,"China bistro is a pan asian cuisine restaurant located at worli..Walking distance from popular atria mall at worli.It has 4 outlets in mumbai .Worli,Dadar,Chembur and Thane.Comes from the same management who own Glocal junction.So expectations are always high visiting these restaurants.Ambience of Worli outlet is very nice.It also has a China lounge which caters to 20-30 people group(private party ) with buffet options to them for lunchi went dinner time.From alacarte menu wide range of varities i triedMocktailsApple basil martini-muddle basil,brown sugar,lime juice with crush ice and apple juice..superbChinese bat mocktail -A spicy ,tangy guava base mocktail with ice ..must try .its mind blowing.Soup-Lemon coriander soup with Tofu-Delicious soup .It had ingredients like lemon,coriander,carrot,cabbage,tofu .This soup is great for health too as its highly enriched with vitamins.Eight treasure soup -This is a chinese speciality .its named eight treasure because it calls for 8 ingredients needed for preperation of this soup.Red mug bean,black rice,glutenous rice,peanut,lily,yam,lotus seed,barley.A sweet soup.i personally loved itBaoSan choy Bao-Bao's of china bistro are too goodmushroom,tofu and bamboo shoot served in bao.great dish.Barbeque pickled Bao- Steamed Chinese bread with filling of carrot,pickled vegetables.i prefer San choy bao over this baoDimsumsVeg basil dumpling(thai)- veggie dumplings made with cabbage,pepper,wok tossed and seasoned with hot basil .Pak choi dumpling(chinese)-pak choi,garlic,oyster sauce,tofu ,garlic cluves used in preparation of this dumpling.i quite enjoyed it.do tryMains-Assorted vegetables in chilli basil sauce- mushroom,carrot,fresh basil,soy sauce,minced ginger used in preparation of this dish.it was ok ok.Lotus stem and asaparagus -edible parts of lotus ,very crunchy and tasted like water chestnut .i loved itVeg fried rice -fried rice with ginger and capsicum.i enjoyed it thoroughlyWok tossed hakka noodles-red chillies,garlic,mushroom,bell pepper .best part was these noodles were nicely rinsed and well tossed evident from oil getting coated evenly on noodles .i enjoyed itDesserts-After a heavy meal .managed to try theirBrownie with icrecream-chocoloate brownie was fresh topped with warm sauce and ice cream.Overall a good experience at china bistro.i quite enjoyed the service,quality of food ..Do try it outSaumil shah",https://www.tripadvisor.in/Restaurant_Review-g304554-d6210285-Reviews-or30-China_Bistro-Mumbai_Maharashtra.html,China Bistro, Worli, Mumbai
